Player,Season,Age,PA,wOBA,wOBA_prev,Age_prev,PA_prev,wOBA_delta,PA_weight
abernbr01,2002,25,496,0.2690120967741936,0.3167673716012085,24,332,-0.047755274827014915,332
abramcj01,2023,23,611,0.31372742200328413,0.2666257668711656,22,163,0.0471016551321185,163
abramcj01,2024,24,601,0.3295819397993311,0.31372742200328413,23,611,0.015854517796046963,601
abreubo01,2001,27,704,0.40956709956709964,0.42505216095380033,26,680,-0.015485061386700694,680
abreubo01,2002,28,685,0.4114497041420118,0.40956709956709964,27,704,0.0018826045749121834,685
abreubo01,2003,29,695,0.394208211143695,0.4114497041420118,28,685,-0.017241492998316843,685
abreubo01,2004,30,713,0.42687055476529157,0.394208211143695,29,695,0.03266234362159659,695
abreubo01,2005,31,719,0.39545454545454545,0.42687055476529157,30,713,-0.03141600931074612,713
abreubo01,2006,32,246,0.4059183673469388,0.39545454545454545,31,719,0.010463821892393366,246
abreubo01,2006,32,438,0.3892147806004619,0.4059183673469388,32,246,-0.01670358674647693,246
abreubo01,2007,33,699,0.35839771101573675,0.3892147806004619,32,438,-0.030817069584725132,438
abreubo01,2008,34,684,0.3713049853372434,0.35839771101573675,33,699,0.012907274321506623,684
abreubo01,2009,35,667,0.3693787878787879,0.3713049853372434,34,684,-0.0019261974584554586,667
abreubo01,2010,36,667,0.34927710843373494,0.3693787878787879,35,667,-0.020101679445052978,667
abreubo01,2011,37,584,0.32708117443868745,0.34927710843373494,36,667,-0.02219593399504749,584
abreubo01,2012,38,230,0.3271806167400881,0.32708117443868745,37,584,9.944230140063182e-5,230
abreubo01,2014,40,155,0.3083870967741935,0.3271806167400881,38,230,-0.018793519965894567,155
abreujo02,2015,28,668,0.37677321156773214,0.42515650741350913,27,622,-0.048383295845777,622
abreujo02,2016,29,695,0.3622674418604651,0.37677321156773214,28,668,-0.014505769707267024,668
abreujo02,2017,30,675,0.3943348281016443,0.3622674418604651,29,695,0.03206738624117916,675
abreujo02,2018,31,553,0.35157509157509154,0.3943348281016443,30,675,-0.04275973652655274,553
